------------------------------------------------------------------------------------land dtaset
 Epoch 23/200, Train Loss: 0.2807, Train Dice: 0.8653, Train IoU: 0.7750, Val Loss: 0.2534, Val Dice: 0.6853, Val IoU: 0.5729, 
 Epoch 24/200, Train Loss: 0.2716, Train Dice: 0.8683, Train IoU: 0.7800, Val Loss: 0.2308, Val Dice: 0.7127, Val IoU: 0.5985, 
 Epoch 25/200, Train Loss: 0.2699, Train Dice: 0.8681, Train IoU: 0.7801, Val Loss: 0.2281, Val Dice: 0.7094, Val IoU: 0.5960, 
 Epoch 26/200, Train Loss: 0.2808, Train Dice: 0.8623, Train IoU: 0.7737, Val Loss: 0.2421, Val Dice: 0.7006, Val IoU: 0.5872, 
 Epoch 27/200, Train Loss: 0.2648, Train Dice: 0.8706, Train IoU: 0.7825, Val Loss: 0.2408, Val Dice: 0.7084, Val IoU: 0.5941, 
 Epoch 28/200, Train Loss: 0.2677, Train Dice: 0.8642, Train IoU: 0.7767, Val Loss: 0.2461, Val Dice: 0.7059, Val IoU: 0.5913, 
 Epoch 29/200, Train Loss: 0.2802, Train Dice: 0.8648, Train IoU: 0.7752, Val Loss: 0.2959, Val Dice: 0.6775, Val IoU: 0.5615, 
 Epoch 30/200, Train Loss: 0.2621, Train Dice: 0.8731, Train IoU: 0.7875, Val Loss: 0.2207, Val Dice: 0.7199, Val IoU: 0.6074, 
 Epoch 31/200, Train Loss: 0.2540, Train Dice: 0.8760, Train IoU: 0.7908, Val Loss: 0.2220, Val Dice: 0.7151, Val IoU: 0.6033, 
 Epoch 32/200, Train Loss: 0.2604, Train Dice: 0.8727, Train IoU: 0.7884, Val Loss: 0.2211, Val Dice: 0.7115, Val IoU: 0.5997, 
 Epoch 33/200, Train Loss: 0.2620, Train Dice: 0.8732, Train IoU: 0.7878, Val Loss: 0.2346, Val Dice: 0.7088, Val IoU: 0.5942, 
 Epoch 34/200, Train Loss: 0.2561, Train Dice: 0.8756, Train IoU: 0.7907, Val Loss: 0.2191, Val Dice: 0.7202, Val IoU: 0.6061, 
 Epoch 35/200, Train Loss: 0.2542, Train Dice: 0.8700, Train IoU: 0.7855, Val Loss: 0.2219, Val Dice: 0.7122, Val IoU: 0.5993, 
 Epoch 36/200, Train Loss: 0.2524, Train Dice: 0.8767, Train IoU: 0.7918, Val Loss: 0.2188, Val Dice: 0.7198, Val IoU: 0.6075, 
 Epoch 37/200, Train Loss: 0.2511, Train Dice: 0.8759, Train IoU: 0.7913, Val Loss: 0.2183, Val Dice: 0.7190, Val IoU: 0.6059, 
 Epoch 38/200, Train Loss: 0.2540, Train Dice: 0.8784, Train IoU: 0.7932, Val Loss: 0.2263, Val Dice: 0.7117, Val IoU: 0.5985, 
 Epoch 39/200, Train Loss: 0.2488, Train Dice: 0.8817, Train IoU: 0.7987, Val Loss: 0.2299, Val Dice: 0.7135, Val IoU: 0.6012, 
 Epoch 40/200, Train Loss: 0.2543, Train Dice: 0.8785, Train IoU: 0.7941, Val Loss: 0.2194, Val Dice: 0.7192, Val IoU: 0.6052, 
 Epoch 41/200, Train Loss: 0.2462, Train Dice: 0.8799, Train IoU: 0.7965, Val Loss: 0.2174, Val Dice: 0.7208, Val IoU: 0.6063, 
 Epoch 42/200, Train Loss: 0.2504, Train Dice: 0.8778, Train IoU: 0.7936, Val Loss: 0.2149, Val Dice: 0.7268, Val IoU: 0.6125, 
 Epoch 43/200, Train Loss: 0.2438, Train Dice: 0.8809, Train IoU: 0.7976, Val Loss: 0.2137, Val Dice: 0.7256, Val IoU: 0.6128, 
 Epoch 44/200, Train Loss: 0.2527, Train Dice: 0.8743, Train IoU: 0.7889, Val Loss: 0.2157, Val Dice: 0.7248, Val IoU: 0.6118, 
 Epoch 45/200, Train Loss: 0.2486, Train Dice: 0.8772, Train IoU: 0.7922, Val Loss: 0.2142, Val Dice: 0.7218, Val IoU: 0.6095, 
 Epoch 46/200, Train Loss: 0.2469, Train Dice: 0.8815, Train IoU: 0.7978, Val Loss: 0.2095, Val Dice: 0.7271, Val IoU: 0.6138, 
 Epoch 47/200, Train Loss: 0.2410, Train Dice: 0.8776, Train IoU: 0.7951, Val Loss: 0.2115, Val Dice: 0.7276, Val IoU: 0.6145, 
 Epoch 48/200, Train Loss: 0.2395, Train Dice: 0.8780, Train IoU: 0.7952, Val Loss: 0.2096, Val Dice: 0.7317, Val IoU: 0.6177, 
 Epoch 49/200, Train Loss: 0.2485, Train Dice: 0.8790, Train IoU: 0.7954, Val Loss: 0.2230, Val Dice: 0.7157, Val IoU: 0.6007, 
 Epoch 50/200, Train Loss: 0.2437, Train Dice: 0.8778, Train IoU: 0.7947, Val Loss: 0.2115, Val Dice: 0.7368, Val IoU: 0.6227, 
 Epoch 51/200, Train Loss: 0.2410, Train Dice: 0.8788, Train IoU: 0.7966, Val Loss: 0.2088, Val Dice: 0.7262, Val IoU: 0.6137, 
 Epoch 52/200, Train Loss: 0.2399, Train Dice: 0.8829, Train IoU: 0.8003, Val Loss: 0.2027, Val Dice: 0.7337, Val IoU: 0.6217, 
 Epoch 53/200, Train Loss: 0.2545, Train Dice: 0.8786, Train IoU: 0.7974, Val Loss: 0.2056, Val Dice: 0.7301, Val IoU: 0.6161, 
 Epoch 54/200, Train Loss: 0.2389, Train Dice: 0.8823, Train IoU: 0.7994, Val Loss: 0.2044, Val Dice: 0.7362, Val IoU: 0.6225, 
 Epoch 55/200, Train Loss: 0.2330, Train Dice: 0.8830, Train IoU: 0.8015, Val Loss: 0.2054, Val Dice: 0.7371, Val IoU: 0.6232, 
