Epoch 39/100, Train Loss: 0.2847, Train Dice: 0.8284, Train IoU: 0.7273, Val Loss: 0.2558, Val Dice: 0.8352, Val IoU: 0.7364, 
Epoch 40/100, Train Loss: 0.2735, Train Dice: 0.8373, Train IoU: 0.7377, Val Loss: 0.2559, Val Dice: 0.8367, Val IoU: 0.7378, 
Epoch 41/100, Train Loss: 0.2738, Train Dice: 0.8395, Train IoU: 0.7416, Val Loss: 0.2543, Val Dice: 0.8353, Val IoU: 0.7359, 
Epoch 42/100, Train Loss: 0.2675, Train Dice: 0.8432, Train IoU: 0.7470, Val Loss: 0.2471, Val Dice: 0.8421, Val IoU: 0.7454, 
Epoch 43/100, Train Loss: 0.2699, Train Dice: 0.8387, Train IoU: 0.7393, Val Loss: 0.2590, Val Dice: 0.8308, Val IoU: 0.7296, 
Epoch 44/100, Train Loss: 0.2660, Train Dice: 0.8431, Train IoU: 0.7450, Val Loss: 0.2563, Val Dice: 0.8329, Val IoU: 0.7333, 
Epoch 45/100, Train Loss: 0.2686, Train Dice: 0.8426, Train IoU: 0.7446, Val Loss: 0.2502, Val Dice: 0.8395, Val IoU: 0.7415, 
Epoch 46/100, Train Loss: 0.2692, Train Dice: 0.8419, Train IoU: 0.7433, Val Loss: 0.2478, Val Dice: 0.8386, Val IoU: 0.7411, 
Epoch 47/100, Train Loss: 0.2690, Train Dice: 0.8420, Train IoU: 0.7446, Val Loss: 0.2488, Val Dice: 0.8378, Val IoU: 0.7398, 
Epoch 48/100, Train Loss: 0.2671, Train Dice: 0.8431, Train IoU: 0.7448, Val Loss: 0.2464, Val Dice: 0.8417, Val IoU: 0.7448, 
Epoch 49/100, Train Loss: 0.2662, Train Dice: 0.8452, Train IoU: 0.7479, Val Loss: 0.2548, Val Dice: 0.8345, Val IoU: 0.7348, 
Epoch 50/100, Train Loss: 0.2637, Train Dice: 0.8428, Train IoU: 0.7470, Val Loss: 0.2493, Val Dice: 0.8377, Val IoU: 0.7399, 
Epoch 51/100, Train Loss: 0.2771, Train Dice: 0.8366, Train IoU: 0.7375, Val Loss: 0.2481, Val Dice: 0.8405, Val IoU: 0.7432,
Epoch 52/100, Train Loss: 0.2664, Train Dice: 0.8476, Train IoU: 0.7503, Val Loss: 0.2497, Val Dice: 0.8373, Val IoU: 0.7387,
Epoch 53/100, Train Loss: 0.2580, Train Dice: 0.8475, Train IoU: 0.7514, Val Loss: 0.2467, Val Dice: 0.8405, Val IoU: 0.7435,
Epoch 54/100, Train Loss: 0.2650, Train Dice: 0.8444, Train IoU: 0.7479, Val Loss: 0.2492, Val Dice: 0.8372, Val IoU: 0.7388, 
Epoch 55/100, Train Loss: 0.2620, Train Dice: 0.8400, Train IoU: 0.7443, Val Loss: 0.2491, Val Dice: 0.8367, Val IoU: 0.7381, 
Epoch 56/100, Train Loss: 0.2625, Train Dice: 0.8422, Train IoU: 0.7448, Val Loss: 0.2508, Val Dice: 0.8385, Val IoU: 0.7404, 
Epoch 57/100, Train Loss: 0.2586, Train Dice: 0.8494, Train IoU: 0.7533, Val Loss: 0.2491, Val Dice: 0.8375, Val IoU: 0.7393, 
